,Adresse,Année,Code Commune,Nom Commune,Segment de client,Code Département,Code Région,Nombre de logements,Consommation annuelle totale de l'adresse (MWh),Consommation annuelle moyenne par logement de l'adresse (MWh),Consommation annuelle moyenne de la commune (MWh)
375,280 RUE DU JARDIN SECRET,2018,6004,ANTIBES,RESIDENTIEL,6.0,93.0,15,37.262,2.484,3.699
376,260 RUE DU JARDIN SECRET,2018,6004,ANTIBES,RESIDENTIEL,6.0,93.0,15,36.742,2.449,3.699
377,8 AVENUE DU MARECHAL JOFFRE,2018,6004,ANTIBES,RESIDENTIEL,6.0,93.0,51,57.092,1.119,3.699
378,1 AVENUE DU MAS ENSOLEILLE,2018,6004,ANTIBES,RESIDENTIEL,6.0,93.0,31,129.483,4.177,3.699
379,359 CHEMIN DU PETIT FOUR,2018,6004,ANTIBES,RESIDENTIEL,6.0,93.0,28,103.257,3.688,3.699
380,113 BOULEVARD DU PRESIDENT WILSON,2018,6004,ANTIBES,RESIDENTIEL,6.0,93.0,22,22.799,1.036,3.699
381,90 BOULEVARD DU PRESIDENT WILSON,2018,6004,ANTIBES,RESIDENTIEL,6.0,93.0,24,46.343,1.931,3.699
382,82 BOULEVARD DU PRESIDENT WILSON,2018,6004,ANTIBES,RESIDENTIEL,6.0,93.0,42,76.305,1.817,3.699
383,62 BOULEVARD DU PRESIDENT WILSON,2018,6004,ANTIBES,RESIDENTIEL,6.0,93.0,21,59.034,2.811,3.699
384,55 BOULEVARD DU PRESIDENT WILSON,2018,6004,ANTIBES,RESIDENTIEL,6.0,93.0,33,59.853,1.814,3.699
385,62 B BOULEVARD DU PRESIDENT WILSON,2018,6004,ANTIBES,RESIDENTIEL,6.0,93.0,36,92.704,2.575,3.699
386,18 RUE DU PRINTEMPS,2018,6004,ANTIBES,RESIDENTIEL,6.0,93.0,15,56.278,3.752,3.699
387,78 CHEMIN DU PUY,2018,6004,ANTIBES,RESIDENTIEL,6.0,93.0,305,519.021,1.702,3.699
388,24 CHEMIN DU TANIT,2018,6004,ANTIBES,RESIDENTIEL,6.0,93.0,17,33.05,1.944,3.699
389,18 CHEMIN DU TANIT,2018,6004,ANTIBES,RESIDENTIEL,6.0,93.0,19,56.767,2.988,3.699
390,12 CHEMIN DU TANIT,2018,6004,ANTIBES,RESIDENTIEL,6.0,93.0,12,59.265,4.939,3.699
391,52 BOULEVARD DU VAL CLARET,2018,6004,ANTIBES,RESIDENTIEL,6.0,93.0,15,36.619,2.441,3.699
392,28 RUE DULYS,2018,6004,ANTIBES,RESIDENTIEL,6.0,93.0,48,105.332,2.194,3.699
393,32 BOULEVARD EDOUARD BAUDOIN,2018,6004,ANTIBES,RESIDENTIEL,6.0,93.0,64,136.824,2.138,3.699
394,3 RUE FONTAINE DU PIN,2018,6004,ANTIBES,RESIDENTIEL,6.0,93.0,15,16.77,1.118,3.699
395,17 AVENUE GAMBETTA,2018,6004,ANTIBES,RESIDENTIEL,6.0,93.0,16,51.811,3.238,3.699
396,10 AVENUE GAZAN,2018,6004,ANTIBES,RESIDENTIEL,6.0,93.0,20,23.038,1.152,3.699
397,9 BOULEVARD GENERAL VAUTRIN,2018,6004,ANTIBES,RESIDENTIEL,6.0,93.0,24,93.667,3.903,3.699
398,15 RUE GEORGES CLEMENCEAU,2018,6004,ANTIBES,RESIDENTIEL,6.0,93.0,15,65.644,4.376,3.699
399,17 AVENUE GUILLABERT,2018,6004,ANTIBES,RESIDENTIEL,6.0,93.0,16,29.328,1.833,3.699
400,12 AVENUE GUILLABERT,2018,6004,ANTIBES,RESIDENTIEL,6.0,93.0,17,38.306,2.253,3.699
401,48 BOULEVARD JAMES WYLLIE,2018,6004,ANTIBES,RESIDENTIEL,6.0,93.0,24,31.244,1.302,3.699
402,1203 AVENUE JULES GREC,2018,6004,ANTIBES,RESIDENTIEL,6.0,93.0,39,190.79,4.892,3.699
403,920 AVENUE JULES GREC,2018,6004,ANTIBES,RESIDENTIEL,6.0,93.0,18,78.567,4.365,3.699
404,23 AVENUE MAL DE LATTRE DE TASSIGNY,2018,6004,ANTIBES,RESIDENTIEL,6.0,93.0,29,63.03,2.173,3.699
405,49 BOULEVARD MARECHAL FOCH,2018,6004,ANTIBES,RESIDENTIEL,6.0,93.0,15,16.325,1.088,3.699
406,30 BOULEVARD MARECHAL FOCH,2018,6004,ANTIBES,RESIDENTIEL,6.0,93.0,17,35.645,2.097,3.699
407,21 BOULEVARD MARECHAL FOCH,2018,6004,ANTIBES,RESIDENTIEL,6.0,93.0,19,36.921,1.943,3.699
408,16 AVENUE MIRABEAU,2018,6004,ANTIBES,RESIDENTIEL,6.0,93.0,12,50.362,4.197,3.699
409,15 AVENUE MIRABEAU,2018,6004,ANTIBES,RESIDENTIEL,6.0,93.0,10,57.72,5.772,3.699
410,5 AVENUE NIQUET,2018,6004,ANTIBES,RESIDENTIEL,6.0,93.0,21,60.037,2.859,3.699
411,56 AVENUE PHILIPPE ROCHAT,2018,6004,ANTIBES,RESIDENTIEL,6.0,93.0,27,157.645,5.839,3.699
412,7 AVENUE PHILIPPE ROCHAT,2018,6004,ANTIBES,RESIDENTIEL,6.0,93.0,19,43.137,2.27,3.699
413,1 AVENUE PHILIPPE ROCHAT,2018,6004,ANTIBES,RESIDENTIEL,6.0,93.0,51,95.871,1.88,3.699
414,550 BOULEVARD PIERRE DELMAS,2018,6004,ANTIBES,RESIDENTIEL,6.0,93.0,17,56.218,3.307,3.699
415,26 RUE PIERRE LOTI,2018,6004,ANTIBES,RESIDENTIEL,6.0,93.0,26,42.084,1.619,3.699
416,12 AVENUE PRINCIPAL PASTOUR,2018,6004,ANTIBES,RESIDENTIEL,6.0,93.0,19,28.15,1.482,3.699
417,3 AVENUE PRINCIPAL PASTOUR,2018,6004,ANTIBES,RESIDENTIEL,6.0,93.0,14,20.873,1.491,3.699
418,152 BOULEVARD RAYMOND POINCARE,2018,6004,ANTIBES,RESIDENTIEL,6.0,93.0,38,89.633,2.359,3.699
419,150 BOULEVARD RAYMOND POINCARE,2018,6004,ANTIBES,RESIDENTIEL,6.0,93.0,34,78.889,2.32,3.699
420,109 BOULEVARD RAYMOND POINCARE,2018,6004,ANTIBES,RESIDENTIEL,6.0,93.0,22,45.479,2.067,3.699
421,85 BOULEVARD RAYMOND POINCARE,2018,6004,ANTIBES,RESIDENTIEL,6.0,93.0,53,49.125,0.927,3.699
422,65 BOULEVARD RAYMOND POINCARE,2018,6004,ANTIBES,RESIDENTIEL,6.0,93.0,33,38.042,1.153,3.699
423,56 AVENUE REIBAUD,2018,6004,ANTIBES,RESIDENTIEL,6.0,93.0,64,233.811,3.653,3.699
424,51 AVENUE REIBAUD,2018,6004,ANTIBES,RESIDENTIEL,6.0,93.0,16,27.893,1.743,3.699
425,31 AVENUE REIBAUD,2018,6004,ANTIBES,RESIDENTIEL,6.0,93.0,22,34.45,1.566,3.699
426,224 RUE ROBERT DESNOS,2018,6004,ANTIBES,RESIDENTIEL,6.0,93.0,44,114.774,2.609,3.699
427,4 RUE SAINT BARTHELEMY,2018,6004,ANTIBES,RESIDENTIEL,6.0,93.0,26,100.71,3.873,3.699
428,25 AVENUE THIERS,2018,6004,ANTIBES,RESIDENTIEL,6.0,93.0,11,60.056,5.46,3.699
429,8 AVENUE TOURRE,2018,6004,ANTIBES,RESIDENTIEL,6.0,93.0,22,79.173,3.599,3.699
430,2 AVENUE TOURRE,2018,6004,ANTIBES,RESIDENTIEL,6.0,93.0,12,49.737,4.145,3.699
431,300 RUE ADOLPHE PAJEAUD,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,111,148.527,1.338,4.091
432,82 RUE ADOLPHE PAJEAUD,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,25,36.537,1.461,4.091
433,1 SQUARE ALEXANDER FLEMING,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,12,16.149,1.346,4.091
434,134 AVENUE ARISTIDE BRIAND,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,12,34.573,2.881,4.091
435,105 AVENUE ARISTIDE BRIAND,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,10,12.096,1.21,4.091
436,61 AVENUE ARISTIDE BRIAND,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,28,178.521,6.376,4.091
437,6 B AVENUE ARISTIDE BRIAND,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,23,130.504,5.674,4.091
438,13 RUE AUGUSTA,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,18,97.303,5.406,4.091
439,40 RUE AUGUSTE MOUNIE,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,10,24.546,2.455,4.091
440,25 RUE AUGUSTE MOUNIE,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,13,67.972,5.229,4.091
441,14 B RUE AUGUSTE MOUNIE,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,22,187.676,8.531,4.091
442,7 RUE BOURGNEUF,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,15,90.634,6.042,4.091
443,9 RUE D AQUITAINE,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,10,14.601,1.46,4.091
444,2 ALLEE D ARZ,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,10,16.058,1.606,4.091
445,18 RUE D OLOMOUC,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,26,42.91,1.65,4.091
446,14 RUE D OLOMOUC,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,36,67.755,1.882,4.091
447,5 RUE DE CHAMPAGNE,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,10,22.663,2.266,4.091
448,18 RUE DE CHATENAY,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,13,109.335,8.41,4.091
449,30 RUE DE L EGLISE,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,16,116.289,7.268,4.091
450,11 RUE DE LA CASPIENNE,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,10,30.258,3.026,4.091
451,80 AVENUE DE LA DIVISION LECLERC,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,40,266.55,6.664,4.091
452,46 AVENUE DE LA DIVISION LECLERC,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,30,173.415,5.781,4.091
453,37 AVENUE DE LA DIVISION LECLERC,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,17,59.149,3.479,4.091
454,30 AVENUE DE LA DIVISION LECLERC,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,19,125.051,6.582,4.091
455,14 RUE DE LA MEDITERRANEE,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,10,22.897,2.29,4.091
456,14 RUE DE LA PRAIRIE,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,10,23.072,2.307,4.091
457,9 RUE DE LA PRAIRIE,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,10,22.27,2.227,4.091
458,14 AVENUE DE LA PROVIDENCE,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,11,67.52,6.138,4.091
459,8 AVENUE DE LA PROVIDENCE,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,44,226.336,5.144,4.091
460,4 AVENUE DE LA PROVIDENCE,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,27,152.385,5.644,4.091
461,1 ALLEE DE LA VOLGA,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,10,22.485,2.248,4.091
462,2 ALLEE DE VILLEMILAN,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,10,26.702,2.67,4.091
463,8 RUE DES HAUTES BERGES,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,18,13.788,0.766,4.091
464,85 RUE DES HAUTES BIEVRES,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,59,82.369,1.396,4.091
465,14 ALLEE DES PLATANES,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,10,29.733,2.973,4.091
466,157 RUE DES RABATS,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,12,16.572,1.381,4.091
467,58 AVENUE DU BOIS DE VERRIERES,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,23,34.156,1.485,4.091
468,46 AVENUE DU BOIS DE VERRIERES,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,48,168.589,3.512,4.091
469,1 PARVIS DU BREUIL,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,118,143.748,1.218,4.091
470,9 RUE DU CAPRICORNE,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,10,13.211,1.321,4.091
471,10 AVENUE DU NOYER DORE,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,52,291.16,5.599,4.091
472,6 AVENUE DU NOYER DORE,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,20,39.899,1.995,4.091
473,17 AVENUE DU PARC DE SCEAUX,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,10,19.184,1.918,4.091
474,32 B AVENUE DU PDT J FITZGERALD KENNEDY,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,12,24.069,2.006,4.091
475,5 VILLA DU PETIT VALET,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,19,148.106,7.795,4.091
476,2 RUE DU SUD,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,21,43.619,2.077,4.091
477,5 ALLEE FERNAND BRAUDEL,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,36,167.932,4.665,4.091
478,1 RUE FLORIAN,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,23,149.097,6.482,4.091
479,18 RUE FONDOUZE,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,13,87.787,6.753,4.091
480,1 ALLEE FRANCOIS MANSART,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,11,115.729,10.521,4.091
481,127 AVENUE FRANCOIS MOLE,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,19,88.051,4.634,4.091
482,5 AVENUE FRANCOIS MOLE,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,13,76.65,5.896,4.091
483,71 B AVENUE FRANCOIS MOLE,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,16,18.261,1.141,4.091
484,2 SQUARE GABRIEL FAURE,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,48,151.941,3.165,4.091
485,3 RUE GALILEE,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,22,42.159,1.916,4.091
486,2 RUE GALILEE,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,22,148.331,6.742,4.091
487,5 RUE GEORGES CHARPAK,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,17,37.094,2.182,4.091
488,3 RUE GERARD DE NERVAL,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,18,27.68,1.538,4.091
489,63 AVENUE JEAN MONNET,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,35,47.252,1.35,4.091
490,8 AVENUE JEAN MONNET,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,10,65.39,6.539,4.091
491,7 RUE JEAN MOULIN,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,12,88.484,7.374,4.091
492,17 AVENUE JEANNE D ARC,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,10,22.612,2.261,4.091
493,1 AVENUE JEANNE D ARC,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,16,38.096,2.381,4.091
494,14 RUE JOSEPH DELON,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,10,16.961,1.696,4.091
495,13 RUE JULIEN PERIN,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,51,123.457,2.421,4.091
496,57 AVENUE LEON JOUHAUX,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,16,28.093,1.756,4.091
497,1 RUE LOUIS BARTHOU,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,24,47.487,1.979,4.091
498,15 RUE MARIN LA MESLEE,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,12,44.254,3.688,4.091
499,40 RUE MAURICE LABROUSSE,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,16,103.672,6.48,4.091
500,6 RUE MOLIERE,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,13,18.538,1.426,4.091
501,4 RUE MOLIERE,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,31,45.815,1.478,4.091
502,2 RUE NICOLAS COPERNIC,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,18,91.21,5.067,4.091
503,4 RUE PAUL BOURGET,2018,92002,ANTONY,RESIDENTIEL,92.0,11.0,53,70.0,1.321,4.091
